Format Version,1.22,Take Name,hw3_v2_A_007,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 00:51:41 +0800,Total Frames in Take,813,Total Exported Frames,813,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
160,0.444444,,,,,,,,-0.071869,-0.440563,0.261680,-0.855723,-1.262161,0.176324,0.898731
161,0.447222,,,,,,,,-0.071908,-0.440565,0.261704,-0.855712,-1.262164,0.176327,0.898739
162,0.450000,,,,,,,,-0.071971,-0.440564,0.261643,-0.855725,-1.262162,0.176301,0.898759
163,0.452778,,,,,,,,-0.071926,-0.440569,0.261688,-0.855713,-1.262161,0.176321,0.898746
164,0.455556,,,,,,,,-0.071919,-0.440556,0.261688,-0.855720,-1.262150,0.176330,0.898742
165,0.458333,,,,,,,,-0.071791,-0.440587,0.261679,-0.855718,-1.262176,0.176288,0.898709
166,0.461111,,,,,,,,-0.071862,-0.440579,0.261662,-0.855721,-1.262150,0.176327,0.898734
167,0.463889,,,,,,,,-0.071944,-0.440581,0.261630,-0.855723,-1.262155,0.176310,0.898761
168,0.466667,,,,,,,,-0.071979,-0.440577,0.261621,-0.855725,-1.262166,0.176292,0.898768
169,0.469444,,,,,,,,-0.071971,-0.440585,0.261609,-0.855725,-1.262154,0.176311,0.898773
170,0.472222,,,,,,,,-0.071767,-0.440593,0.261683,-0.855716,-1.262187,0.176286,0.898715
171,0.475000,,,,,,,,-0.071659,-0.440629,0.261816,-0.855665,-1.262190,0.176212,0.898871
172,0.477778,,,,,,,,-0.071848,-0.440580,0.261714,-0.855706,-1.262154,0.176304,0.898787
173,0.480556,,,,,,,,-0.071942,-0.440572,0.261622,-0.855731,-1.262156,0.176301,0.898753
174,0.483333,,,,,,,,-0.071978,-0.440570,0.261605,-0.855734,-1.262154,0.176293,0.898766
175,0.486111,,,,,,,,-0.071779,-0.440620,0.261646,-0.855712,-1.262174,0.176272,0.898724
176,0.488889,,,,,,,,-0.071735,-0.440612,0.261651,-0.855718,-1.262176,0.176270,0.898710
177,0.491667,,,,,,,,-0.071804,-0.440617,0.261624,-0.855718,-1.262186,0.176242,0.898723
178,0.494444,,,,,,,,-0.071933,-0.440587,0.261620,-0.855725,-1.262169,0.176275,0.898760
179,0.497222,,,,,,,,-0.071893,-0.440564,0.261683,-0.855720,-1.262162,0.176341,0.898748
180,0.500000,,,,,,,,-0.071771,-0.440594,0.261678,-0.855716,-1.262177,0.176287,0.898711
181,0.502778,,,,,,,,-0.071769,-0.440624,0.261583,-0.855730,-1.262178,0.176239,0.898720
182,0.505556,,,,,,,,-0.071863,-0.440580,0.261650,-0.855724,-1.262162,0.176311,0.898737
183,0.508333,,,,,,,,-0.071948,-0.440570,0.261640,-0.855726,-1.262161,0.176310,0.898762
184,0.511111,,,,,,,,-0.071799,-0.440584,0.261670,-0.855722,-1.262174,0.176278,0.898723
185,0.513889,,,,,,,,-0.071866,-0.440562,0.261714,-0.855714,-1.262162,0.176313,0.898735
